Date,MSFT
2016-01-04,47.98345184326172
2016-01-05,48.20235824584961
2016-01-06,47.32674026489258
2016-01-07,45.680599212646484
2016-01-08,45.82069778442383
2016-01-11,45.794437408447266
2016-01-12,46.2147216796875
2016-01-13,45.21651840209961
2016-01-14,46.50366973876953
2016-01-15,44.64738082885742
2016-01-19,44.270870208740234
2016-01-20,44.47226333618164
2016-01-21,44.2008171081543
2016-01-22,45.78569030761719
2016-01-25,45.347869873046875
2016-01-26,45.680599212646484
2016-01-27,44.84878158569336
2016-01-28,45.584293365478516
2016-01-29,48.23737716674805
2016-02-01,47.9046516418457
2016-02-02,46.40735626220703
2016-02-03,45.67184829711914
2016-02-04,45.53175354003906
2016-02-05,43.920616149902344
2016-02-08,43.263916015625
2016-02-09,43.15009307861328
2016-02-10,43.526607513427734
2016-02-11,43.50908660888672
2016-02-12,44.21833038330078
2016-02-16,45.05613327026367
2016-02-17,46.22905349731445
2016-02-18,46.026214599609375
2016-02-19,45.69991683959961
2016-02-22,46.43190002441406
2016-02-23,45.1355094909668
2016-02-24,45.294246673583984
2016-02-25,45.946842193603516
2016-02-26,45.241336822509766
2016-02-29,44.870941162109375
2016-03-01,46.37016296386719
2016-03-02,46.69646453857422
2016-03-03,46.16733169555664
2016-03-04,45.8851203918457
2016-03-07,45.00321960449219
2016-03-08,45.54999542236328
2016-03-09,46.5994758605957
2016-03-10,45.902774810791016
2016-03-11,46.80228805541992
2016-03-14,46.89047622680664
2016-03-15,47.2608757019043
2016-03-16,47.93112564086914
2016-03-17,48.20450210571289
2016-03-18,47.172698974609375
2016-03-21,47.49899673461914
2016-03-22,47.68419647216797
2016-03-23,47.59599685668945
2016-03-24,47.80764389038086
2016-03-28,47.2167854309082
2016-03-29,48.24860382080078
2016-03-30,48.54844665527344
2016-03-31,48.70718765258789
2016-04-01,49.00703430175781
2016-04-04,48.88357162475586
2016-04-05,48.11631774902344
2016-04-06,48.61018371582031
2016-04-07,48.028114318847656
2016-04-08,47.99284362792969
2016-04-11,47.895851135253906
2016-04-12,48.195701599121094
2016-04-13,48.81301498413086
2016-04-14,48.82184600830078
2016-04-15,49.07759094238281
2016-04-18,49.79191589355469
2016-04-19,49.73019027709961
2016-04-20,49.02467346191406
2016-04-21,49.19223403930664
2016-04-22,45.66463851928711
2016-04-25,45.9556770324707
2016-04-26,45.36479187011719
2016-04-27,44.923851013183594
2016-04-28,44.00667190551758
2016-04-29,43.980220794677734
2016-05-02,44.632843017578125
2016-05-03,43.900840759277344
2016-05-04,43.980220794677734
2016-05-05,44.04195785522461
2016-05-06,44.438812255859375
2016-05-09,44.1566047668457
2016-05-10,44.99440383911133
2016-05-11,45.020843505859375
2016-05-12,45.42653274536133
2016-05-13,45.047325134277344
2016-05-16,45.708744049072266
2016-05-17,44.85619354248047
2016-05-18,45.12261199951172
2016-05-19,44.687461853027344
2016-05-20,44.953880310058594
2016-05-23,44.429931640625
2016-05-24,45.815311431884766
2016-05-25,46.285987854003906
2016-05-26,46.08173751831055
2016-05-27,46.46359634399414
2016-05-31,47.067474365234375
2016-06-01,46.93427276611328
2016-06-02,46.605682373046875
2016-06-03,45.99292755126953
2016-06-06,46.29486846923828
2016-06-07,46.26821517944336
2016-06-08,46.21493911743164
2016-06-09,45.841949462890625
2016-06-10,45.71762466430664
2016-06-13,44.527618408203125
2016-06-14,44.25232696533203
2016-06-15,44.127986907958984
2016-06-16,44.749629974365234
2016-06-17,44.518741607666016
2016-06-20,44.46544647216797
2016-06-21,45.46007537841797
2016-06-22,45.282470703125
2016-06-23,46.09949493408203
2016-06-24,44.25232696533203
2016-06-27,43.00901412963867
2016-06-28,43.905967712402344
2016-06-29,44.882843017578125
2016-06-30,45.44232177734375
2016-07-01,45.43344497680664
2016-07-05,45.44232177734375
2016-07-06,45.628822326660156
2016-07-07,45.628822326660156
2016-07-08,46.44583511352539
2016-07-11,46.703365325927734
2016-07-12,47.25397491455078
2016-07-13,47.52040481567383
2016-07-14,47.72465515136719
2016-07-15,47.689117431640625
2016-07-18,47.920021057128906
2016-07-19,47.14741134643555
2016-07-20,49.65174102783203
2016-07-21,49.5540657043457
2016-07-22,50.23787307739258
2016-07-25,50.379966735839844
2016-07-26,50.4066047668457
2016-07-27,49.90040969848633
2016-07-28,49.918174743652344
2016-07-29,50.33556365966797
2016-08-01,50.24674606323242
2016-08-02,50.24674606323242
2016-08-03,50.593101501464844
2016-08-04,50.966094970703125
2016-08-05,51.472286224365234
2016-08-08,51.561092376708984
2016-08-09,51.68541717529297
2016-08-10,51.52557373046875
2016-08-11,51.77423095703125
2016-08-12,51.45452880859375
2016-08-15,51.61437225341797
2016-08-16,51.32842254638672
2016-08-17,51.43566131591797
2016-08-18,51.47140121459961
2016-08-19,51.48927307128906
2016-08-22,51.53395462036133
2016-08-23,51.73054504394531
2016-08-24,51.78416061401367
2016-08-25,51.980751037597656
2016-08-26,51.855655670166016
2016-08-29,51.91819763183594
2016-08-30,51.73054504394531
2016-08-31,51.34629821777344
2016-09-01,51.462459564208984
2016-09-02,51.53395462036133
2016-09-06,51.4803352355957
2016-09-07,51.52501678466797
2016-09-08,51.31947708129883
2016-09-09,50.22930145263672
2016-09-12,50.97991943359375
2016-09-13,50.5152473449707
2016-09-14,50.273983001708984
2016-09-15,51.10501480102539
2016-09-16,51.15863800048828
2016-09-19,50.87268829345703
2016-09-20,50.76544952392578
2016-09-21,51.61437225341797
2016-09-22,51.667991638183594
2016-09-23,51.31947708129883
2016-09-26,50.84588623046875
2016-09-27,51.78416061401367
