Date,META
2016-01-04,101.51091766357422
2016-01-05,102.01738739013672
2016-01-06,102.2557144165039
2016-01-07,97.24073028564453
2016-01-08,96.65483856201172
2016-01-11,96.83358764648438
2016-01-12,98.68067932128906
2016-01-13,94.7779541015625
2016-01-14,97.68762969970703
2016-01-15,94.31121063232422
2016-01-19,94.59919738769531
2016-01-20,93.69551086425781
2016-01-21,93.50682067871094
2016-01-22,97.26060485839844
2016-01-25,96.33705139160156
2016-01-26,96.66476440429688
2016-01-27,93.79480743408203
2016-01-28,108.35311889648438
2016-01-29,111.4316177368164
2016-02-01,114.2916259765625
2016-02-02,113.81497192382812
2016-02-03,111.90829467773438
2016-02-04,109.72354125976562
2016-02-05,103.34807586669922
2016-02-08,99.05805206298828
2016-02-09,98.84950256347656
2016-02-10,100.29936981201172
2016-02-11,101.20307159423828
2016-02-12,101.3023681640625
2016-02-16,100.9051513671875
2016-02-17,104.47024536132812
2016-02-18,102.75224304199219
2016-02-19,103.84461212158203
2016-02-22,106.41664123535156
2016-02-23,104.72843170166016
2016-02-24,106.13858795166016
2016-02-25,107.3203353881836
2016-02-26,107.17137908935547
2016-02-29,106.17829895019531
2016-03-01,109.0582046508789
2016-03-02,109.18729400634766
2016-03-03,108.81986236572266
2016-03-04,107.63811492919922
2016-03-07,104.99656677246094
2016-03-08,105.19517517089844
2016-03-09,106.76422119140625
2016-03-10,106.57554626464844
2016-03-11,108.65103912353516
2016-03-14,109.12770080566406
2016-03-15,109.90229034423828
2016-03-16,111.40182495117188
2016-03-17,110.24986267089844
2016-03-18,110.67688751220703
2016-03-21,111.07411193847656
2016-03-22,111.47134399414062
2016-03-23,111.75933074951172
2016-03-24,112.26579284667969
2016-03-28,112.90135192871094
2016-03-29,115.33434295654297
2016-03-30,113.90434265136719
2016-03-31,113.30850219726562
2016-04-01,115.2549057006836
2016-04-04,111.76925659179688
2016-04-05,111.4415512084961
2016-04-06,112.92121887207031
2016-04-07,112.85169219970703
2016-04-08,109.86256408691406
2016-04-11,108.23394775390625
2016-04-12,109.84270477294922
2016-04-13,109.743408203125
2016-04-14,110.07112121582031
2016-04-15,108.87944030761719
2016-04-18,109.68382263183594
2016-04-19,111.51105499267578
2016-04-20,111.6401596069336
2016-04-21,112.65309143066406
2016-04-22,109.79305267333984
2016-04-25,109.33624267578125
2016-04-26,108.00554656982422
2016-04-27,108.13465118408203
2016-04-28,115.9202651977539
2016-04-29,116.76436614990234
2016-05-02,117.74749755859375
2016-05-03,116.61540222167969
2016-05-04,117.24104309082031
2016-05-05,116.99276733398438
2016-05-06,118.66112518310547
2016-05-09,118.412841796875
2016-05-10,119.66410827636719
2016-05-11,118.69091796875
2016-05-12,119.44562530517578
2016-05-13,118.97888946533203
2016-05-16,117.84679412841797
2016-05-17,116.53594970703125
2016-05-18,116.83387756347656
2016-05-19,115.99971771240234
2016-05-20,116.53594970703125
2016-05-23,115.16552734375
2016-05-24,116.88352966308594
2016-05-25,117.07221984863281
2016-05-26,118.64125061035156
2016-05-27,118.5518798828125
2016-05-31,117.98583221435547
2016-06-01,117.95603942871094
2016-06-02,118.1050033569336
2016-06-03,117.648193359375
2016-06-06,117.9659652709961
2016-06-07,116.94310760498047
2016-06-08,117.5687484741211
2016-06-09,117.73756408691406
2016-06-10,115.81102752685547
2016-06-13,113.15953826904297
2016-06-14,114.1426773071289
2016-06-15,113.8050308227539
2016-06-16,113.59648895263672
2016-06-17,112.23599243164062
2016-06-20,112.58356475830078
2016-06-21,113.58656311035156
2016-06-22,113.11982727050781
2016-06-23,114.28170013427734
2016-06-24,111.30252075195312
2016-06-27,108.21409606933594
2016-06-28,111.91820526123047
2016-06-29,113.36809539794922
2016-06-30,113.48726654052734
2016-07-01,113.39788055419922
2016-07-05,113.40780639648438
2016-07-06,115.89045715332031
2016-07-07,115.04634857177734
2016-07-08,116.42671966552734
2016-07-11,117.05236053466797
2016-07-12,117.1119384765625
2016-07-13,115.96990966796875
2016-07-14,116.47637176513672
2016-07-15,116.04935455322266
2016-07-18,118.54195404052734
2016-07-19,119.77334594726562
2016-07-20,121.07425689697266
2016-07-21,119.77334594726562
2016-07-22,120.16065216064453
2016-07-25,120.78626251220703
2016-07-26,120.37910461425781
2016-07-27,122.48440551757812
2016-07-28,124.13288879394531
2016-07-29,123.08025360107422
2016-08-01,123.44767761230469
2016-08-02,122.23614501953125
2016-08-03,121.66016387939453
2016-08-04,123.49732971191406
2016-08-05,124.28185272216797
2016-08-08,124.39108276367188
2016-08-09,124.19246673583984
2016-08-10,124.01371765136719
2016-08-11,124.03358459472656
2016-08-12,124.01371765136719
2016-08-15,123.04052734375
2016-08-16,122.44468688964844
2016-08-17,123.50727081298828
2016-08-18,123.05046081542969
2016-08-19,122.702880859375
2016-08-22,123.28878784179688
2016-08-23,123.50727081298828
2016-08-24,122.6234359741211
2016-08-25,123.03058624267578
2016-08-26,124.09317016601562
2016-08-29,125.66220092773438
2016-08-30,124.96705627441406
2016-08-31,125.24510955810547
2016-09-01,125.2947769165039
2016-09-02,125.6324234008789
2016-09-06,128.83006286621094
2016-09-07,130.1409454345703
2016-09-08,129.36634826660156
2016-09-09,126.21832275390625
2016-09-12,127.79728698730469
2016-09-13,126.32756805419922
2016-09-14,126.88367462158203
2016-09-15,127.45967102050781
2016-09-16,128.17466735839844
2016-09-19,127.757568359375
2016-09-20,127.74763488769531
2016-09-21,129.0386199951172
2016-09-22,129.1776580810547
2016-09-23,127.07235717773438
2016-09-26,126.42687225341797
2016-09-27,127.79728698730469
