Date,KO
2016-01-04,30.9647159576416
2016-01-05,31.074249267578125
2016-01-06,30.90629005432129
2016-01-07,30.395071029663086
2016-01-08,30.314748764038086
2016-01-11,30.36586570739746
2016-01-12,30.760229110717773
2016-01-13,30.56304168701172
2016-01-14,30.58494758605957
2016-01-15,30.307435989379883
2016-01-19,30.614166259765625
2016-01-20,30.219810485839844
2016-01-21,30.22710609436035
2016-01-22,30.716405868530273
2016-01-25,30.789430618286133
2016-01-26,30.73101043701172
2016-01-27,30.73831558227539
2016-01-28,31.088863372802734
2016-01-29,31.344465255737305
2016-02-01,31.402904510498047
2016-02-02,30.993919372558594
2016-02-03,31.198406219482422
2016-02-04,31.059642791748047
2016-02-05,30.993919372558594
2016-02-08,31.147274017333984
2016-02-09,31.62198829650879
2016-02-10,31.074249267578125
2016-02-11,30.972000122070312
2016-02-12,31.48322105407715
2016-02-16,31.665807723999023
2016-02-17,31.7607364654541
2016-02-18,31.84836769104004
2016-02-19,31.9652156829834
2016-02-22,32.08937454223633
2016-02-23,31.90679359436035
2016-02-24,32.067466735839844
2016-02-25,32.25002670288086
2016-02-26,31.50514030456543
2016-02-29,31.497827529907227
2016-03-01,31.90679359436035
2016-03-02,31.9652156829834
2016-03-03,32.10398483276367
2016-03-04,32.213523864746094
2016-03-07,32.14049530029297
2016-03-08,32.36688995361328
2016-03-09,32.724727630615234
2016-03-10,33.03144836425781
2016-03-11,33.26697540283203
2016-03-14,33.33321762084961
2016-03-15,33.29641342163086
2016-03-16,33.156578063964844
2016-03-17,33.68650817871094
2016-03-18,33.56137466430664
2016-03-21,33.61289978027344
2016-03-22,33.48777770996094
2016-03-23,33.45832824707031
2016-03-24,33.546661376953125
2016-03-28,33.70858383178711
2016-03-29,34.209041595458984
2016-03-30,34.282649993896484
2016-03-31,34.14281463623047
2016-04-01,34.46665954589844
2016-04-04,34.51081466674805
2016-04-05,34.24584197998047
2016-04-06,34.37833023071289
2016-04-07,34.1207275390625
2016-04-08,34.496089935302734
2016-04-11,34.17961120605469
2016-04-12,34.334163665771484
2016-04-13,33.88520812988281
2016-04-14,33.73065948486328
2016-04-15,33.929359436035156
2016-04-18,34.01769256591797
2016-04-19,34.29736328125
2016-04-20,32.656105041503906
2016-04-21,32.13353729248047
2016-04-22,32.78123092651367
2016-04-25,32.906349182128906
2016-04-26,32.773868560791016
2016-04-27,32.88425827026367
2016-04-28,32.84745788574219
2016-04-29,32.97257995605469
2016-05-02,33.10507583618164
2016-05-03,33.00201416015625
2016-05-04,33.10507583618164
2016-05-05,33.16394805908203
2016-05-06,33.35529327392578
2016-05-09,33.29641342163086
2016-05-10,33.67177963256836
2016-05-11,33.45832824707031
2016-05-12,33.73065948486328
2016-05-13,33.37738037109375
2016-05-16,33.576087951660156
2016-05-17,32.93578338623047
2016-05-18,32.73705291748047
2016-05-19,32.61930847167969
2016-05-20,32.34698486328125
2016-05-23,32.36170959472656
2016-05-24,32.656105041503906
2016-05-25,32.66345977783203
2016-05-26,32.8916130065918
2016-05-27,32.95785903930664
2016-05-31,32.82537078857422
2016-06-01,32.898990631103516
2016-06-02,32.9136962890625
2016-06-03,33.14921569824219
2016-06-06,33.392093658447266
2016-06-07,33.35529327392578
2016-06-08,33.52458190917969
2016-06-09,33.67912673950195
2016-06-10,33.84841537475586
2016-06-13,33.46275329589844
2016-06-14,33.4034309387207
2016-06-15,33.381187438964844
2016-06-16,33.60368347167969
2016-06-17,33.218021392822266
2016-06-20,33.35893249511719
2016-06-21,33.47016906738281
2016-06-22,33.26992416381836
2016-06-23,33.433101654052734
2016-06-24,32.58020782470703
2016-06-27,32.46895980834961
2016-06-28,32.765621185302734
2016-06-29,32.95843505859375
2016-06-30,33.618492126464844
2016-07-01,33.46275329589844
2016-07-05,33.69267272949219
2016-07-06,33.574005126953125
2016-07-07,33.44051742553711
2016-07-08,33.65557861328125
2016-07-11,33.7964973449707
2016-07-12,33.80392074584961
2016-07-13,33.92257308959961
2016-07-14,33.885498046875
2016-07-15,33.84099578857422
2016-07-18,33.84099578857422
2016-07-19,33.84099578857422
2016-07-20,33.75199508666992
2016-07-21,33.707496643066406
2016-07-22,33.98932647705078
2016-07-25,33.7964973449707
2016-07-26,33.28476333618164
2016-07-27,32.1871452331543
2016-07-28,32.37255859375
2016-07-29,32.35770797729492
2016-08-01,32.22421646118164
2016-08-02,32.28354263305664
2016-08-03,32.36513900756836
2016-08-04,32.268714904785156
2016-08-05,32.2464714050293
2016-08-08,32.216800689697266
2016-08-09,32.23906326293945
2016-08-10,32.34288787841797
2016-08-11,32.44673156738281
2016-08-12,32.65436935424805
2016-08-15,32.81012725830078
2016-08-16,32.506046295166016
2016-08-17,32.67662048339844
2016-08-18,32.70627975463867
2016-08-19,32.57278060913086
2016-08-22,32.43930435180664
2016-08-23,32.5208854675293
2016-08-24,32.5208854675293
2016-08-25,32.38738250732422
2016-08-26,32.127811431884766
2016-08-29,32.29096984863281
2016-08-30,32.068485260009766
2016-08-31,32.209388732910156
2016-09-01,32.150054931640625
2016-09-02,32.37997055053711
2016-09-06,32.47636413574219
2016-09-07,32.36513900756836
2016-09-08,32.35770797729492
2016-09-09,31.34908103942871
2016-09-12,32.031402587890625
2016-09-13,31.61268424987793
2016-09-14,31.485567092895508
2016-09-15,31.672500610351562
2016-09-16,31.50800132751465
2016-09-19,31.478107452392578
2016-09-20,31.657556533813477
2016-09-21,31.799598693847656
2016-09-22,32.121116638183594
2016-09-23,31.956626892089844
2016-09-26,31.440706253051758
2016-09-27,31.844478607177734
