Date,NVDA
2016-01-04,0.7895879149436951
2016-01-05,0.8022720813751221
2016-01-06,0.7690981030464172
2016-01-07,0.7386071681976318
2016-01-08,0.7227520942687988
2016-01-11,0.7239717841148376
2016-01-12,0.7361679673194885
2016-01-13,0.7137269973754883
2016-01-14,0.6993351578712463
2016-01-15,0.6612825989723206
2016-01-19,0.6666490435600281
2016-01-20,0.6703080534934998
2016-01-21,0.6781136989593506
2016-01-22,0.6939688920974731
2016-01-25,0.6932371854782104
2016-01-26,0.7000671625137329
2016-01-27,0.6917733550071716
2016-01-28,0.684211790561676
2016-01-29,0.7144586443901062
2016-02-01,0.7147025465965271
2016-02-02,0.6844557523727417
2016-02-03,0.6878708600997925
2016-02-04,0.6881144046783447
2016-02-05,0.6446958184242249
2016-02-08,0.6151807904243469
2016-02-09,0.6217668652534485
2016-02-10,0.6203033328056335
2016-02-11,0.6171322464942932
2016-02-12,0.6276211738586426
2016-02-16,0.6583557724952698
2016-02-17,0.6746987700462341
2016-02-18,0.7327529191970825
2016-02-19,0.7425102591514587
2016-02-22,0.768854022026062
2016-02-23,0.7708057165145874
2016-02-24,0.7761719226837158
2016-02-25,0.7778791785240173
2016-02-26,0.7727568745613098
2016-02-29,0.7677381038665771
2016-03-01,0.8017676472663879
2016-03-02,0.8064192533493042
2016-03-03,0.7993193864822388
2016-03-04,0.7968710660934448
2016-03-07,0.7917299270629883
2016-03-08,0.7772859930992126
2016-03-09,0.7767964005470276
2016-03-10,0.7755720615386963
2016-03-11,0.7887921929359436
2016-03-14,0.7907508015632629
2016-03-15,0.7868335843086243
2016-03-16,0.8103358745574951
2016-03-17,0.80348140001297
2016-03-18,0.8277175426483154
2016-03-21,0.8301658034324646
2016-03-22,0.8286972641944885
2016-03-23,0.8428963422775269
2016-03-24,0.8441203832626343
2016-03-28,0.8526889085769653
2016-03-29,0.8663983345031738
2016-03-30,0.8754563927650452
2016-03-31,0.8722736835479736
2016-04-01,0.885004460811615
2016-04-04,0.8764358758926392
2016-04-05,0.8752115964889526
2016-04-06,0.8764358758926392
2016-04-07,0.867377758026123
2016-04-08,0.8730085492134094
2016-04-11,0.8783944249153137
2016-04-12,0.8774150013923645
2016-04-13,0.8994483351707458
2016-04-14,0.9018966555595398
2016-04-15,0.9089962840080261
2016-04-18,0.905079185962677
2016-04-19,0.888921320438385
2016-04-20,0.8923489451408386
2016-04-21,0.8913694620132446
2016-04-22,0.8879422545433044
2016-04-25,0.8923489451408386
2016-04-26,0.8930833339691162
2016-04-27,0.913402795791626
2016-04-28,0.8862282037734985
2016-04-29,0.8698257207870483
2016-05-02,0.8813320994377136
2016-05-03,0.8708051443099976
2016-05-04,0.8509751558303833
2016-05-05,0.8561161160469055
2016-05-06,0.8649294972419739
2016-05-09,0.8637053966522217
2016-05-10,0.880352795124054
2016-05-11,0.8828009963035583
2016-05-12,0.8708051443099976
2016-05-13,1.0032501220703125
2016-05-16,1.0328723192214966
2016-05-17,1.0350759029388428
2016-05-18,1.0615155696868896
2016-05-19,1.066166639328003
2016-05-20,1.085262656211853
2016-05-23,1.0869762897491455
2016-05-24,1.1133623123168945
2016-05-25,1.1086980104446411
2016-05-26,1.1204804182052612
2016-05-27,1.1266167163848877
2016-05-31,1.1467430591583252
2016-06-01,1.148952603340149
2016-06-02,1.1570525169372559
2016-06-03,1.1408522129058838
2016-06-06,1.1349618434906006
2016-06-07,1.1371707916259766
2016-06-08,1.1334891319274902
2016-06-09,1.1629430055618286
2016-06-10,1.1339794397354126
2016-06-13,1.1484616994857788
2016-06-14,1.1506701707839966
2016-06-15,1.162452220916748
2016-06-16,1.1671161651611328
2016-06-17,1.1467430591583252
2016-06-20,1.167360782623291
2016-06-21,1.1602433919906616
2016-06-22,1.1592612266540527
2016-06-23,1.1901880502700806
2016-06-24,1.1224445104599
2016-06-27,1.1104167699813843
2016-06-28,1.1266167163848877
2016-06-29,1.1450251340866089
2016-06-30,1.1538615226745605
2016-07-01,1.1452704668045044
2016-07-05,1.1622065305709839
2016-07-06,1.1695704460144043
2016-07-07,1.2000062465667725
2016-07-08,1.2481144666671753
2016-07-11,1.276831865310669
2016-07-12,1.2959771156311035
2016-07-13,1.2954864501953125
2016-07-14,1.308740496635437
2016-07-15,1.2935224771499634
2016-07-18,1.30014967918396
2016-07-19,1.3136496543884277
2016-07-20,1.3308308124542236
2016-07-21,1.3062858581542969
2016-07-22,1.3418761491775513
2016-07-25,1.366666555404663
2016-07-26,1.389984369277954
2016-07-27,1.3759938478469849
2016-07-28,1.3789390325546265
2016-07-29,1.4015204906463623
2016-08-01,1.3924386501312256
2016-08-02,1.3755028247833252
2016-08-03,1.3791848421096802
2016-08-04,1.4047117233276367
2016-08-05,1.4285200834274292
2016-08-08,1.441774606704712
2016-08-09,1.4454561471939087
2016-08-10,1.436129093170166
2016-08-11,1.4653376340866089
2016-08-12,1.5473177433013916
2016-08-15,1.5458455085754395
2016-08-16,1.5365183353424072
2016-08-17,1.5009281635284424
2016-08-18,1.5242462158203125
2016-08-19,1.5281732082366943
2016-08-22,1.5345549583435059
2016-08-23,1.5469722747802734
2016-08-24,1.5231200456619263
2016-08-25,1.5130376815795898
2016-08-26,1.5253336429595947
2016-08-29,1.5243499279022217
2016-08-30,1.5154975652694702
2016-08-31,1.5083659887313843
2016-09-01,1.5528745651245117
2016-09-02,1.5376280546188354
2016-09-06,1.5521364212036133
2016-09-07,1.52926766872406
2016-09-08,1.5403331518173218
2016-09-09,1.4636117219924927
2016-09-12,1.493857741355896
2016-09-13,1.4722182750701904
