Date,PEP
2016-01-04,73.0665512084961
2016-01-05,73.56954956054688
2016-01-06,73.59175872802734
2016-01-07,72.1788330078125
2016-01-08,71.9124984741211
2016-01-11,72.0826644897461
2016-01-12,72.21580505371094
2016-01-13,71.38728332519531
2016-01-14,70.8768310546875
2016-01-15,69.486083984375
2016-01-19,70.84723663330078
2016-01-20,69.36770629882812
2016-01-21,69.88555908203125
2016-01-22,70.90643310546875
2016-01-25,70.97299194335938
2016-01-26,71.25410461425781
2016-01-27,70.97299194335938
2016-01-28,72.09004211425781
2016-01-29,73.45863342285156
2016-02-01,73.25887298583984
2016-02-02,72.65227508544922
2016-02-03,73.02955627441406
2016-02-04,72.045654296875
2016-02-05,71.99386596679688
2016-02-08,72.1418228149414
2016-02-09,72.70405578613281
2016-02-10,72.21580505371094
2016-02-11,71.68318176269531
2016-02-12,72.85941314697266
2016-02-16,72.9407730102539
2016-02-17,73.64354705810547
2016-02-18,73.69535064697266
2016-02-19,73.66573333740234
2016-02-22,73.88027954101562
2016-02-23,73.63614654541016
2016-02-24,73.73971557617188
2016-02-25,74.47210693359375
2016-02-26,72.76322937011719
2016-02-29,72.36376190185547
2016-03-01,73.30325317382812
2016-03-02,73.26081085205078
2016-03-03,73.87920379638672
2016-03-04,74.50504302978516
2016-03-07,73.94622039794922
2016-03-08,74.31130981445312
2016-03-09,74.65403747558594
2016-03-10,75.08616638183594
2016-03-11,75.48104095458984
2016-03-14,74.98931121826172
2016-03-15,75.36183166503906
2016-03-16,75.1234359741211
2016-03-17,75.89826965332031
2016-03-18,75.46614074707031
2016-03-21,75.65239715576172
2016-03-22,75.07868957519531
2016-03-23,75.10852813720703
2016-03-24,75.01168060302734
2016-03-28,75.23516845703125
2016-03-29,75.5257339477539
2016-03-30,76.50921630859375
2016-03-31,76.35274505615234
2016-04-01,77.32131958007812
2016-04-04,77.35110473632812
2016-04-05,76.81468963623047
2016-04-06,77.42565155029297
2016-04-07,77.18721008300781
2016-04-08,78.2898941040039
2016-04-11,77.708740234375
2016-04-12,78.16323852539062
2016-04-13,77.57465362548828
2016-04-14,76.85939025878906
2016-04-15,77.3138656616211
2016-04-18,77.276611328125
2016-04-19,77.7236557006836
2016-04-20,76.32295989990234
2016-04-21,75.2426528930664
2016-04-22,75.98023223876953
2016-04-25,76.59117126464844
2016-04-26,76.442138671875
2016-04-27,76.4645004272461
2016-04-28,76.71782684326172
2016-04-29,76.71038818359375
2016-05-02,77.060546875
2016-05-03,77.15740203857422
2016-05-04,77.50013732910156
2016-05-05,77.64167785644531
2016-05-06,78.20045471191406
2016-05-09,78.43891906738281
2016-05-10,79.40001678466797
2016-05-11,78.76673126220703
2016-05-12,79.04983520507812
2016-05-13,77.61933135986328
2016-05-16,77.58209991455078
2016-05-17,76.27078247070312
2016-05-18,75.18303680419922
2016-05-19,75.49595642089844
2016-05-20,74.57953643798828
2016-05-23,74.81793975830078
2016-05-24,75.31710815429688
2016-05-25,75.31710815429688
2016-05-26,75.92064666748047
2016-05-27,75.96531677246094
2016-05-31,75.37672424316406
2016-06-01,76.24219512939453
2016-06-02,76.56499481201172
2016-06-03,76.96285247802734
2016-06-06,77.0904312133789
2016-06-07,76.93280029296875
2016-06-08,77.45074462890625
2016-06-09,77.81105041503906
2016-06-10,77.54832458496094
2016-06-13,77.36066436767578
2016-06-14,77.48828125
2016-06-15,77.21056365966797
2016-06-16,77.95368194580078
2016-06-17,77.6233901977539
2016-06-20,77.59337615966797
2016-06-21,78.12632751464844
2016-06-22,77.87110900878906
2016-06-23,78.39655303955078
2016-06-24,76.54998016357422
2016-06-27,76.66256713867188
2016-06-28,76.67008972167969
2016-06-29,77.40569305419922
2016-06-30,79.52251434326172
2016-07-01,79.28980255126953
2016-07-05,79.88278198242188
2016-07-06,79.50749969482422
2016-07-07,80.68598937988281
2016-07-08,81.27147674560547
2016-07-11,81.75189971923828
2016-07-12,81.66184997558594
2016-07-13,82.5025405883789
2016-07-14,82.5400619506836
2016-07-15,82.31486511230469
2016-07-18,81.97706604003906
2016-07-19,82.21728515625
2016-07-20,81.75940704345703
2016-07-21,81.50419616699219
2016-07-22,81.96208190917969
2016-07-25,81.83446502685547
2016-07-26,81.21894836425781
2016-07-27,80.67848205566406
2016-07-28,81.1664047241211
2016-07-29,81.75940704345703
2016-08-01,81.76689910888672
2016-08-02,81.60929870605469
2016-08-03,81.09884643554688
2016-08-04,81.38410186767578
2016-08-05,81.5642318725586
2016-08-08,81.17390441894531
2016-08-09,81.27900695800781
2016-08-10,81.68434143066406
2016-08-11,81.42913818359375
2016-08-12,81.5116958618164
2016-08-15,81.60929870605469
2016-08-16,81.06880950927734
2016-08-17,81.4216079711914
2016-08-18,81.27900695800781
2016-08-19,81.19644165039062
2016-08-22,81.0387954711914
2016-08-23,80.97874450683594
2016-08-24,81.15138244628906
2016-08-25,80.97874450683594
2016-08-26,80.65596008300781
2016-08-29,81.0613021850586
2016-08-30,80.475830078125
2016-08-31,80.69731140136719
2016-09-01,81.10552215576172
2016-09-02,81.5439453125
2016-09-06,81.581787109375
2016-09-07,81.04505157470703
2016-09-08,80.79556274414062
2016-09-09,78.65625
2016-09-12,80.14546203613281
2016-09-13,79.06443786621094
2016-09-14,79.41218566894531
2016-09-15,79.73726654052734
2016-09-16,79.5860824584961
2016-09-19,79.88086700439453
2016-09-20,80.35712432861328
2016-09-21,80.98455047607422
2016-09-22,81.50617980957031
2016-09-23,81.143310546875
2016-09-26,80.9089584350586
2016-09-27,81.25672912597656
2016-09-28,81.17355346679688
