Date,GOOG
2016-01-04,36.81587219238281
2016-01-05,36.852596282958984
2016-01-06,36.904212951660156
2016-01-07,36.049129486083984
2016-01-08,35.45756530761719
2016-01-11,35.53498458862305
2016-01-12,36.033241271972656
2016-01-13,34.767234802246094
2016-01-14,35.469970703125
2016-01-15,34.464012145996094
2016-01-19,34.82828140258789
2016-01-20,34.66252136230469
2016-01-21,35.066490173339844
2016-01-22,35.9925537109375
2016-01-25,35.318607330322266
2016-01-26,35.3865966796875
2016-01-27,34.73895263671875
2016-01-28,36.27592468261719
2016-01-29,36.870967864990234
2016-02-01,37.32008743286133
2016-02-02,37.947879791259766
2016-02-03,36.07691192626953
2016-02-04,35.136962890625
2016-02-05,33.92406463623047
2016-02-08,33.882869720458984
2016-02-09,33.653099060058594
2016-02-10,33.951358795166016
2016-02-11,33.90123748779297
2016-02-12,33.865997314453125
2016-02-16,34.29279708862305
2016-02-17,35.15632629394531
2016-02-18,34.60793685913086
2016-02-19,34.784610748291016
2016-02-22,35.06004333496094
2016-02-23,34.53348922729492
2016-02-24,34.71760940551758
2016-02-25,35.024810791015625
2016-02-26,34.99106216430664
2016-02-29,34.62877655029297
2016-03-01,35.672943115234375
2016-03-02,35.6749382019043
2016-03-03,35.35582733154297
2016-03-04,35.27989959716797
2016-03-07,34.49924850463867
2016-03-08,34.44019317626953
2016-03-09,34.9995002746582
2016-03-10,35.37567138671875
2016-03-11,36.07046890258789
2016-03-14,36.25260543823242
2016-03-15,36.145408630371094
2016-03-16,36.53050994873047
2016-03-17,36.61438751220703
2016-03-18,36.6054573059082
2016-03-21,36.828277587890625
2016-03-22,36.761775970458984
2016-03-23,36.62828063964844
2016-03-24,36.49130630493164
2016-03-28,36.40346908569336
2016-03-29,36.96128463745117
2016-03-30,37.24714279174805
2016-03-31,36.970218658447266
2016-04-01,37.21636962890625
2016-04-04,36.98709487915039
2016-04-05,36.615379333496094
2016-04-06,37.00694274902344
2016-04-07,36.73845672607422
2016-04-08,36.682376861572266
2016-04-11,36.531009674072266
2016-04-12,36.87790298461914
2016-04-13,37.30619812011719
2016-04-14,37.379642486572266
2016-04-15,37.6674919128418
2016-04-18,38.04515838623047
2016-04-19,37.41587448120117
2016-04-20,37.35334777832031
2016-04-21,37.6744384765625
2016-04-22,35.670963287353516
2016-04-25,35.888336181640625
2016-04-26,35.14341735839844
2016-04-27,35.02927780151367
2016-04-28,34.293785095214844
2016-04-29,34.392555236816406
2016-05-02,34.65061569213867
2016-05-03,34.36029052734375
2016-05-04,34.52605056762695
2016-05-05,34.8104133605957
2016-05-06,35.29130554199219
2016-05-09,35.379642486572266
2016-05-10,35.88982009887695
2016-05-11,35.49825668334961
2016-05-12,35.399993896484375
2016-05-13,35.276920318603516
2016-05-16,35.55781555175781
2016-05-17,35.04862976074219
2016-05-18,35.0684814453125
2016-05-19,34.75532531738281
2016-05-20,35.22282409667969
2016-05-23,34.949867248535156
2016-05-24,35.73646926879883
2016-05-25,35.99354553222656
2016-05-26,35.93647384643555
2016-05-27,36.360286712646484
2016-05-31,36.512149810791016
2016-06-01,36.434234619140625
2016-06-02,36.24813461303711
2016-06-03,35.84813690185547
2016-06-06,35.560791015625
2016-06-07,35.56574630737305
2016-06-08,36.142921447753906
2016-06-09,36.15781021118164
2016-06-10,35.70272445678711
2016-06-13,35.65061569213867
2016-06-14,35.646148681640625
2016-06-15,35.678401947021484
2016-06-16,35.25359344482422
2016-06-17,34.328529357910156
2016-06-20,34.42728805541992
2016-06-21,34.53795623779297
2016-06-22,34.6133918762207
2016-06-23,34.832252502441406
2016-06-24,33.509674072265625
2016-06-27,33.16426086425781
2016-06-28,33.748870849609375
2016-06-29,33.950870513916016
2016-06-30,34.347381591796875
2016-07-01,34.700233459472656
2016-07-05,34.48883056640625
2016-07-06,34.62877655029297
2016-07-07,34.509178161621094
2016-07-08,35.01885223388672
2016-07-11,35.48833465576172
2016-07-12,35.76376724243164
2016-07-13,35.58212661743164
2016-07-14,35.77914810180664
2016-07-15,35.72456359863281
2016-07-18,36.41587448120117
2016-07-19,36.573692321777344
2016-07-20,36.78362274169922
2016-07-21,36.65657424926758
2016-07-22,36.86054229736328
2016-07-25,36.7131462097168
2016-07-26,36.64614486694336
2016-07-27,36.812400817871094
2016-07-28,37.01786422729492
2016-07-29,38.15333938598633
2016-08-01,38.3563232421875
2016-08-02,38.26649856567383
2016-08-03,38.3712043762207
2016-08-04,38.29330062866211
2016-08-05,38.81984329223633
2016-08-08,38.797019958496094
2016-08-09,38.92108917236328
2016-08-10,38.941932678222656
2016-08-11,38.95036697387695
2016-08-12,38.869468688964844
2016-08-15,38.83076858520508
2016-08-16,38.5677375793457
2016-08-17,38.705196380615234
2016-08-18,38.58559799194336
2016-08-19,38.48237228393555
2016-08-22,38.320091247558594
2016-08-23,38.316627502441406
2016-08-24,38.19552993774414
2016-08-25,38.184112548828125
2016-08-26,38.19055938720703
2016-08-29,38.320091247558594
2016-08-30,38.16823196411133
2016-08-31,38.06699752807617
2016-09-01,38.1528434753418
2016-09-02,38.285850524902344
2016-09-06,38.71364212036133
2016-09-07,38.72704315185547
2016-09-08,38.4774169921875
2016-09-09,37.70024490356445
2016-09-12,38.16476058959961
2016-09-13,37.70173645019531
2016-09-14,37.8406867980957
2016-09-15,38.30073928833008
2016-09-16,38.15781021118164
2016-09-19,37.99999237060547
2016-09-20,38.28337097167969
2016-09-21,38.52207565307617
2016-09-22,39.06748580932617
2016-09-23,39.05210494995117
2016-09-26,38.422325134277344
2016-09-27,38.859046936035156
