Date,AAPL
2016-01-04,23.753154754638672
2016-01-05,23.15791893005371
2016-01-06,22.704721450805664
2016-01-07,21.746477127075195
2016-01-08,21.861469268798828
2016-01-11,22.215452194213867
2016-01-12,22.537874221801758
2016-01-13,21.95842170715332
2016-01-14,22.438669204711914
2016-01-15,21.899799346923828
2016-01-19,21.79383087158203
2016-01-20,21.823143005371094
2016-01-21,21.71265983581543
2016-01-22,22.8670597076416
2016-01-25,22.420637130737305
2016-01-26,22.544639587402344
2016-01-27,21.063308715820312
2016-01-28,21.21436882019043
2016-01-29,21.9471435546875
2016-02-01,21.741973876953125
2016-02-02,21.302305221557617
2016-02-03,21.72393226623535
2016-02-04,21.898483276367188
2016-02-05,21.313617706298828
2016-02-08,21.53803825378418
2016-02-09,21.53351402282715
2016-02-10,21.370290756225586
2016-02-11,21.241077423095703
2016-02-12,21.30681610107422
2016-02-16,21.90754508972168
2016-02-17,22.243061065673828
2016-02-18,21.821409225463867
2016-02-19,21.771541595458984
2016-02-22,21.96195411682129
2016-02-23,21.465497970581055
2016-02-24,21.785139083862305
2016-02-25,21.934755325317383
2016-02-26,21.968765258789062
2016-02-29,21.91888999938965
2016-03-01,22.789386749267578
2016-03-02,22.839258193969727
2016-03-03,23.009275436401367
2016-03-04,23.351585388183594
2016-03-07,23.09315299987793
2016-03-08,22.902727127075195
2016-03-09,22.923131942749023
2016-03-10,22.93446922302246
2016-03-11,23.181560516357422
2016-03-14,23.24050521850586
2016-03-15,23.707494735717773
2016-03-16,24.0225887298584
2016-03-17,23.984054565429688
2016-03-18,24.011262893676758
2016-03-21,24.008989334106445
2016-03-22,24.192609786987305
2016-03-23,24.05886459350586
2016-03-24,23.954580307006836
2016-03-28,23.84576988220215
2016-03-29,24.410232543945312
2016-03-30,24.836414337158203
2016-03-31,24.707199096679688
2016-04-01,24.933889389038086
2016-04-04,25.1900577545166
2016-04-05,24.893095016479492
2016-04-06,25.153789520263672
2016-04-07,24.605188369750977
2016-04-08,24.632394790649414
2016-04-11,24.714004516601562
2016-04-12,25.035911560058594
2016-04-13,25.39861297607422
2016-04-14,25.412214279174805
2016-04-15,24.902156829833984
2016-04-18,24.364900588989258
2016-04-19,24.235685348510742
2016-04-20,24.285551071166992
2016-04-21,24.0225887298584
2016-04-22,23.95684051513672
2016-04-25,23.820842742919922
2016-04-26,23.655349731445312
2016-04-27,22.175050735473633
2016-04-28,21.497236251831055
2016-04-29,21.250141143798828
2016-05-02,21.22747230529785
2016-05-03,21.57657814025879
2016-05-04,21.352149963378906
2016-05-05,21.265491485595703
2016-05-06,21.146892547607422
2016-05-09,21.16285514831543
2016-05-10,21.306541442871094
2016-05-11,21.099000930786133
2016-05-12,20.60407829284668
2016-05-13,20.645126342773438
2016-05-16,21.411455154418945
2016-05-17,21.322507858276367
2016-05-18,21.566543579101562
2016-05-19,21.48443603515625
2016-05-20,21.717073440551758
2016-05-23,21.993045806884766
2016-05-24,22.32831382751465
2016-05-25,22.720590591430664
2016-05-26,22.90076446533203
2016-05-27,22.887081146240234
2016-05-31,22.77532386779785
2016-06-01,22.456024169921875
2016-06-02,22.28725814819336
2016-06-03,22.332862854003906
2016-06-06,22.49480438232422
2016-06-07,22.586023330688477
2016-06-08,22.56550407409668
2016-06-09,22.727432250976562
2016-06-10,22.540424346923828
2016-06-13,22.20058250427246
2016-06-14,22.227951049804688
2016-06-15,22.154972076416016
2016-06-16,22.248483657836914
2016-06-17,21.742168426513672
2016-06-20,21.689701080322266
2016-06-21,21.874441146850586
2016-06-22,21.792339324951172
2016-06-23,21.91777801513672
2016-06-24,21.30198860168457
2016-06-27,20.991796493530273
2016-06-28,21.345317840576172
2016-06-29,21.53005027770996
2016-06-30,21.80373764038086
2016-07-01,21.8698787689209
2016-07-05,21.66461944580078
2016-07-06,21.787771224975586
2016-07-07,21.881282806396484
2016-07-08,22.050064086914062
2016-07-11,22.118484497070312
2016-07-12,22.218839645385742
2016-07-13,22.093385696411133
2016-07-14,22.531293869018555
2016-07-15,22.529010772705078
2016-07-18,22.768489837646484
2016-07-19,22.77760887145996
2016-07-20,22.79813575744629
2016-07-21,22.67725372314453
2016-07-22,22.50164222717285
2016-07-25,22.20058250427246
2016-07-26,22.047775268554688
2016-07-27,23.480079650878906
2016-07-28,23.797090530395508
2016-07-29,23.76744270324707
2016-08-01,24.187097549438477
2016-08-02,23.829029083251953
2016-08-03,24.127796173095703
2016-08-04,24.27684783935547
2016-08-05,24.646039962768555
2016-08-08,24.85012435913086
2016-08-09,24.951011657714844
2016-08-10,24.765277862548828
2016-08-11,24.74921989440918
2016-08-12,24.80655288696289
2016-08-15,25.104652404785156
2016-08-16,25.081722259521484
2016-08-17,25.045032501220703
2016-08-18,25.01293182373047
2016-08-19,25.077133178710938
2016-08-22,24.882219314575195
2016-08-23,24.96018409729004
2016-08-24,24.772151947021484
2016-08-25,24.666671752929688
2016-08-26,24.522205352783203
2016-08-29,24.494693756103516
2016-08-30,24.306663513183594
2016-08-31,24.329591751098633
2016-09-01,24.474050521850586
2016-09-02,24.70336151123047
2016-09-06,24.69647979736328
2016-09-07,24.84782600402832
2016-09-08,24.196590423583984
2016-09-09,23.648544311523438
2016-09-12,24.178251266479492
2016-09-13,24.753807067871094
2016-09-14,25.629764556884766
2016-09-15,26.501136779785156
2016-09-16,26.352094650268555
2016-09-19,26.044822692871094
2016-09-20,26.04252052307129
2016-09-21,26.03793716430664
2016-09-22,26.283294677734375
2016-09-23,25.845317840576172
2016-09-26,25.884302139282227
2016-09-27,25.932449340820312
